Link,Title,Company,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=d748c217f78dbd58,DBA 엔지니어,쏘카,대한민국,,"시계열 데이터베이스(InfluxDB) 구축 및 운영 경험이 있으신 분 • 자동화를 위한 스크립트(Shell, Python, Ansible) 지식을 보유하신 분 • 새로운 기술 도입에 대한 오픈 마인드를 갖고 계신 분 전형절차..."
https://kr.indeed.com/viewjob?jk=ee987172a7b12be0,자율협력주행 온라인 박람회,한국도로공사,서울,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjob?jk=dfcb86f156623e5c,보훈대상자 인재 채용,네오위즈,대한민국,,경험이 있는 분 - Unix(Linux) / Windows Script 작성 능력을 갖춘 분 - Java / python 개발 능력을 보유한 분 모바일게임 UA마케팅 담당자 (경력) 경력 [담당업무] - 권역별 시장...
https://kr.indeed.com/viewjob?jk=034b9e008ef26aea,Businss Analyst,eBay Inc.,서울,,proficiency with statistical analysis tools... SAS/R/ Python is a plus. · Effective team player and works well within...
https://kr.indeed.com/viewjob?jk=b3bde1882ae8a1d8,[서울/수원/천안] 웹디자인/JAVA웹개발/빅데이터/AI인공지능 개발 분...,휴먼교육센터,천안 동남구,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjob?jk=d852018122f62ace,[신성장] 개발 엔지니어 (인턴직),버즈니,서울,,"위해서 필요한 일을 스스로 발굴하고, 성장할 수 있는 개발자와 함께 일하고 싶습니다. 이런 일을 담당합니다 Python 언어 사용 – Data crawling : 다양한 상품 데이터 수집 (예: 상품 가격, 이미지, 상세설명..."
https://kr.indeed.com/viewjob?jk=810816c790317a08,보안,NHN,성남 판교역,,"보안 설계/적용/운영 경험 - Python, Script Language... 보안 위협 및 비정상 행위 분석 경험 - JAVA&Spring/ Python 개발 경력 3년 이상 - Linux 이론 지식 및 활용 경험..."
https://kr.indeed.com/viewjob?jk=7dfbf378267bf0b0,Physicist or Engineer (m/f/d) as System...,pmdtechnologies,서울,,PhD graduate) Well-founded knowledge and safe handling of Python Experience... field of data analysis Basic knowledge...
https://kr.indeed.com/viewjob?jk=f3ace37c4d937d62,글로벌 소셜카지노 부문 사업PM,네오위즈,대한민국,,슬롯/블랙잭 등의 카지노 게임에 대한 이해도가 있으신 분 2. SQL 사용이 익숙하신 분 3. 엑셀/R/ Python을 활용해 통계 분석이 가능하신 분 4. 영어 활용 능력이 높으신 분 * 면접 일정 안내는 서류 합격...
https://kr.indeed.com/viewjob?jk=a1c55a2ad7480ad2,MBC 프론트엔드 개발자,문화방송,서울 마포구,,"지원하기를 희망합니다. 지원버튼을 클릭 하시면 기업 홈페이지로 이동 합니다. 직무/산업 직무별(직종) 웹프로그래머SQL, Python HTML코딩.퍼블리셔자바스크립트, CSS 산업별(업종) 방송.케이블.프로덕션 지상파방송"
